Data,IE00B6R52036
09/2011,10000
10/2011,10289.314377517932
11/2011,11003.031017166832
12/2011,9803.078048649333
01/2012,10638.803315320152
02/2012,10261.320350638163
03/2012,9126.037360061753
04/2012,8622.728703367993
05/2012,8533.57555303692
06/2012,8491.256371981122
07/2012,8455.353901080154
08/2012,9006.29480886401
09/2012,9913.859384237372
10/2012,9559.397207637523
11/2012,8707.325106924856
12/2012,8260.609000611943
01/2013,7418.000585452916
02/2013,6932.458055130039
03/2013,7091.965234526856
04/2013,5562.199680323541
05/2013,5460.496902190423
06/2013,4329.82479895557
07/2013,4734.296528916293
08/2013,5087.1705610598865
09/2013,4553.727531126029
10/2013,4480.859310844247
11/2013,3934.739423785533
12/2013,3761.9015698882185
01/2014,4234.562263363471
02/2014,4550.394143056967
03/2014,4179.510890612122
04/2014,4260.0603523887285
05/2014,4051.0498884593408
06/2014,4683.300370286536
07/2014,4711.316629989224
08/2014,4930.393203065017
09/2014,4183.681490895763
10/2014,3419.936628521048
11/2014,3599.681862159392
12/2014,3721.8822529157796
01/2015,4809.965768007193
02/2015,4672.331735295427
03/2015,4186.974475901708
04/2015,4469.94741052912
05/2015,4434.647156248515
06/2015,3955.0817805770184
07/2015,3173.2079709779814
08/2015,3146.3295298386893
09/2015,3090.323059200312
10/2015,3448.1385596560244
11/2015,3305.2400354458537
12/2015,3237.051420015192
01/2016,3416.5433047084157
02/2016,4604.942695073787
03/2016,4598.031672830906
04/2016,5833.682208224049
05/2016,5244.137836127805
06/2016,6431.758638724247
07/2016,6972.80230914529
08/2016,5792.155832231061
09/2016,5998.994006970857
10/2016,5705.84878408058
11/2016,4977.3779208813
12/2016,5135.479216915186
01/2017,5676.573678081891
02/2017,5607.820576292815
03/2017,5502.368977722309
04/2017,5257.326051821813
05/2017,5196.5497677375015
06/2017,4973.533553010575
07/2017,5008.267529438401
08/2017,5360.510216680959
09/2017,5017.990478015786
10/2017,4961.388185626889
11/2017,4868.126392896367
12/2017,5007.679358782175
01/2018,4924.055975772201
02/2018,4484.571120001576
03/2018,4553.169789442013
04/2018,4729.461854175853
05/2018,4867.111795586026
06/2018,4876.560244611928
07/2018,4635.015965547706
08/2018,4084.6073009975908
09/2018,4102.879883077074
10/2018,4317.01816193315
11/2018,4381.5047863380805
12/2018,4768.470661294728
01/2019,5124.28921393126
02/2019,5076.2476391903365
03/2019,5199.461458579299
04/2019,4848.342583840364
05/2019,5097.641082167811
06/2019,5955.980749077117
07/2019,6351.003048981551
08/2019,7140.888886842574
09/2019,6542.549854179321
10/2019,6685.796706529476
11/2019,6510.913713166797
12/2019,6941.6610009413125
01/2020,7013.389328488658
02/2020,6447.670298972129
03/2020,5672.026829345328
04/2020,7969.001083263661
05/2020,8102.883463760106
06/2020,8506.739684148288
07/2020,9533.25412937245
08/2020,9323.423299476868
09/2020,8836.462929734831
10/2020,8474.257941886319
11/2020,7663.732548916596
12/2020,7801.90759451108
01/2021,7544.211399729353
02/2021,6890.698601326689
03/2021,7398.143484917271
04/2021,7659.721144343719
05/2021,8563.594270239766
06/2021,7635.080132698869
07/2021,7918.791429553966
08/2021,7432.905920433039
09/2021,6844.764339708492
10/2021,7370.652760149664
11/2021,7570.149368633756
12/2021,7736.833066520158
01/2022,7326.617356564828
02/2022,8150.121300090461
03/2022,8965.03616805526
04/2022,8727.136558707976
05/2022,7762.5197012249455
06/2022,6855.505512395536
07/2022,6703.431413088429
08/2022,6289.66378968098
09/2022,6463.867628813274
10/2022,6362.964869568755
11/2022,7258.5356587261585
12/2022,7169.767851128695
01/2023,7881.985816392933
02/2023,6936.083502179696
03/2023,7940.73459305323
04/2023,8181.2807153876165
05/2023,7701.910942599443
06/2023,7413.840338323596
07/2023,7601.458936322759
08/2023,7252.736357524557
09/2023,6854.2393168194385
10/2023,7117.187138461063
11/2023,7656.002889798164
12/2023,7671.0616953238705
01/2024,7153.090842932308
02/2024,6712.941614387506
03/2024,8009.838813635697
04/2024,8493.60069448134