Data,IE00B8FHGS14
05/1988,10000
06/1988,10286.603902021896
07/1988,10933.8439718007
08/1988,10659.473291147253
09/1988,10862.663234025073
10/1988,11036.123970639868
11/1988,10916.52415423875
12/1988,10993.349563368194
01/1989,11888.656230111088
02/1989,11931.935107833793
03/1989,12157.415786092764
04/1989,12650.371682163157
05/1989,13096.148423131785
06/1989,13460.045774505077
07/1989,13955.843710625264
08/1989,14035.913329389668
09/1989,14748.028070566048
10/1989,14065.218886447938
11/1989,14201.991523631072
12/1989,14221.11775538084
01/1990,13247.430821210315
02/1990,12780.160521797268
03/1990,12439.233506091885
04/1990,11800.629200182702
05/1990,12621.819915042272
06/1990,12724.84462619797
07/1990,12682.309508164179
08/1990,10939.78552412455
09/1990,10017.10080793327
10/1990,10692.624539528371
11/1990,10133.86991175614
12/1990,10296.899001658578
01/1991,10543.87208308823
02/1991,11289.180106959322
03/1991,12023.134529619767
04/1991,12769.781780819958
05/1991,13018.708817376999
06/1991,13103.560508412198
07/1991,13626.642962465627
08/1991,13115.4523087258
09/1991,13117.697348066635
10/1991,13301.26343601524
11/1991,12467.403563828137
12/1991,12812.696455347168
01/1992,12519.769084940139
02/1992,12609.938441814918
03/1992,12345.123685112481
04/1992,12504.731238999688
05/1992,12689.734972511398
06/1992,12292.878870725363
07/1992,11841.086543594114
08/1992,11619.068659758772
09/1992,11702.625683452914
10/1992,12017.73469655252
11/1992,12848.13103957108
12/1992,13074.31607528802
01/1993,13415.670453665962
02/1993,14217.164390877328
03/1993,14966.745588649272
04/1993,15040.566819193338
05/1993,15205.601109401103
06/1993,15616.814879708798
07/1993,16834.299866889818
08/1993,17564.535633119398
09/1993,16666.50130540818
10/1993,17380.912669352863
11/1993,16885.524427670676
12/1993,17646.863709768528
01/1994,18696.019933328793
02/1994,18295.43361545177
03/1994,17242.89129831111
04/1994,17590.990800148258
05/1994,17216.785396301475
06/1994,16881.741737913744
07/1994,16674.1306538429
08/1994,17005.67969583737
09/1994,16604.912619456274
10/1994,16534.25966755638
11/1994,16254.292841583496
12/1994,16853.99769209187
01/1995,16274.30105019949
02/1995,16356.244073086425
03/1995,16481.66906033009
04/1995,16637.790857078846
05/1995,17240.002890407435
06/1995,17146.2325199559
07/1995,17478.1210721417
08/1995,17786.397307588533
09/1995,18481.037877643663
10/1995,18115.12778981334
11/1995,18566.301779298683
12/1995,19622.942075910723
01/1996,20336.714909413582
02/1996,20364.301976906016
03/1996,20490.930940745384
04/1996,21075.856907713725
05/1996,21410.420944155387
06/1996,21418.514372628808
07/1996,20507.3958254275
08/1996,20587.667518339666
09/1996,21191.787148683834
10/1996,21480.00652475587
11/1996,22339.9332683153
12/1996,22759.74853943731
01/1997,23399.802686190447
02/1997,24642.26812688938
03/1997,24382.36707063794
04/1997,24778.58170159097
05/1997,26172.58747078866
06/1997,27416.922050015233
07/1997,29066.67043514602
08/1997,28153.17705719563
09/1997,29051.829140531838
10/1997,27476.94068107288
11/1997,27519.286796106342
12/1997,29201.95704379508
01/1998,30349.916208138995
02/1998,31821.82205153312
03/1998,33627.99716693093
04/1998,33286.04128689181
05/1998,32681.852732478164
06/1998,32959.32522620434
07/1998,32779.65275309179
08/1998,29734.925698762072
09/1998,29213.710932673657
10/1998,30214.230442390424
11/1998,31958.250589525414
12/1998,33281.912997822554
01/1999,33981.943847934876
02/1999,33969.462708278355
03/1999,35479.780864967404
04/1999,37468.68961428983
05/1999,37440.692222097074
06/1999,38166.72253984516
07/1999,37339.91948245687
08/1999,37265.9067679528
09/1999,36791.30432514996
10/1999,38722.21177953713
11/1999,40131.79175135239
12/1999,42181.141098754866
01/2000,41110.10146322813
02/2000,40136.649117151304
03/2000,43463.23554922738
04/2000,45045.1560204579
05/2000,43639.08347873301
06/2000,43302.96981224871
07/2000,44172.63502643455
08/2000,47039.05705835601
09/2000,48174.187323950355
10/2000,50160.1787501622
11/2000,48055.44104947612
12/2000,45965.59262950919
01/2001,44580.369457292436
02/2001,43871.95104493433
03/2001,43896.53145985256
04/2001,45400.15932632142
05/2001,47971.71734399255
06/2001,46907.64659554141
07/2001,45619.82508836826
08/2001,43061.45291570865
09/2001,40887.59315662862
10/2001,40945.604410228036
11/2001,42892.43777386868
12/2001,43534.31350772047
01/2002,43235.85160774406
02/2002,43844.11695229005
03/2002,44837.681468548435
04/2002,43349.82413340888
05/2002,42190.370454110714
06/2002,38327.322257910964
07/2002,36288.88372798727
08/2002,36499.4250251455
09/2002,33521.67213736644
10/2002,34386.661764777324
11/2002,34830.11878155524
12/2002,32984.009940634685
01/2003,31005.450556520238
02/2003,30606.786729364147
03/2003,30442.390807811884
04/2003,31737.953479250224
05/2003,31475.17022876893
06/2003,32816.09404187084
07/2003,33100.231865228714
08/2003,34771.64526848727
09/2003,33382.75577278926
10/2003,34692.52464370365
11/2003,34387.957001665134
12/2003,34413.08743366568
01/2004,35482.404612496866
02/2004,36133.044124066604
03/2004,37225.105604708
04/2004,37267.88631545634
05/2004,36898.38027487088
06/2004,37758.19565391096
07/2004,37385.06752198961
08/2004,37873.45806737139
09/2004,37564.687715976026
10/2004,37525.979090215675
11/2004,37909.37801225483
12/2004,38419.999376388056
01/2005,39205.263277712176
02/2005,39725.79721836175
03/2005,40190.000979023185
04/2005,40249.20243450316
05/2005,42708.55515609641
06/2005,44154.71995458887
07/2005,45208.040966461216
08/2005,44983.02509293186
09/2005,46370.19581595836
10/2005,45247.18911312913
11/2005,47230.24870582349
12/2005,47919.98277768349
01/2006,47952.77806868668
02/2006,49295.981033015465
03/2006,48890.85872484997
04/2006,48124.22252477648
05/2006,45837.41561630429
06/2006,46617.262196454605
07/2006,47458.59968668178
08/2006,48487.19534209115
09/2006,49694.37969982646
10/2006,51036.32446128591
11/2006,50479.25649507034
12/2006,51868.05515139622
01/2007,53481.285642038005
02/2007,52355.9424699468
03/2007,52659.51180150462
04/2007,53429.845105742264
05/2007,54752.04771679059
06/2007,52911.27246632217
07/2007,50715.544139709666
08/2007,51466.55754545436
09/2007,51759.88383892939
10/2007,52043.53891257285
11/2007,49844.8826177424
12/2007,49097.55238675477
01/2008,46145.33235050747
02/2008,44727.429871878376
03/2008,42570.736073567205
04/2008,44529.88005895977
05/2008,45132.941785013965
06/2008,41543.957150555194
07/2008,42009.83944913122
08/2008,44519.14810728944
09/2008,43044.07152530872
10/2008,40612.20040011506
11/2008,39307.24855720526
12/2008,36639.70621891459
01/2009,36932.39928263682
02/2009,33751.15643767293
03/2009,33277.88150398859
04/2009,35778.33546637949
05/2009,36031.09989060665
06/2009,36409.93680243348
07/2009,38900.34126951394
08/2009,39619.79807622529
09/2009,40068.591142587204
10/2009,38568.11396669322
11/2009,39613.37089055286
12/2009,41354.614170722365
01/2010,41617.99531481842
02/2010,43452.622225966006
03/2010,45243.19445762162
04/2010,45687.28601828597
05/2010,46376.885170835936
06/2010,46781.217578010386
07/2010,46086.65500730181
08/2010,47517.10561314979
09/2010,46713.301169340004
10/2010,47238.76408204477
11/2010,49247.937437543325
12/2010,50126.62139162872
01/2011,48767.39786884786
02/2011,49662.95689753667
03/2011,48554.922244033325
04/2011,48459.69265777356
05/2011,50493.67891731466
06/2011,49760.35706032701
07/2011,49927.992681327385
08/2011,48816.3862555631
09/2011,50543.37475507777
10/2011,50890.04866284086
11/2011,52629.71254486668
12/2011,55759.2586298422
01/2012,55280.85383452855
02/2012,55428.750823864
03/2012,56643.46117492702
04/2012,57760.23346529358
05/2012,58803.643503686646
06/2012,60389.726885205
07/2012,63277.19047718679
08/2012,62058.44410003547
09/2012,61568.527763378734
10/2012,60728.081528180744
11/2012,60808.60154402644
12/2012,59353.94227026763
01/2013,60476.1307170168
02/2013,64010.40151907247
03/2013,69010.43117954812
04/2013,69642.60419109651
05/2013,66679.1579886155
06/2013,65986.03963535684
07/2013,67092.48550101773
08/2013,65470.94325929532
09/2013,66287.67471374237
10/2013,68002.19813978931
11/2013,68146.17023674306
12/2013,67604.80041287755
01/2014,67099.03738856502
02/2014,68275.19952532383
03/2014,69157.51781494994
04/2014,69912.51155801128
05/2014,72231.33300230288
06/2014,73163.42865318609
07/2014,73862.4001738684
08/2014,77177.21320277292
09/2014,79014.22866021408
10/2014,81785.73003460925
11/2014,83755.48294082587
12/2014,85801.26721116112
01/2015,93483.23130471598
02/2015,96828.29936414181
03/2015,100602.35337703177
04/2015,97554.97067049099
05/2015,99301.70913903703
06/2015,95257.82342222588
07/2015,100322.07708479115
08/2015,93859.77275272708
09/2015,92814.68040650431
10/2015,100009.27405095968
11/2015,103092.0729051181
12/2015,100956.95932496796
01/2016,98985.43289528141
02/2016,101400.08084189703
03/2016,102498.43881214595
04/2016,103410.74334655772
05/2016,105562.64543373811
06/2016,110580.7529320555
07/2016,112612.75783303977
08/2016,109195.8654430686
09/2016,109091.74581982462
10/2016,107492.5010862384
11/2016,109013.14174957412
12/2016,112465.265712776
01/2017,112238.09088269969
02/2017,117684.28942687795
03/2017,117178.18549131925
04/2017,115840.03783617454
05/2017,116174.87665389704
06/2017,113588.38598564627
07/2017,112647.13876289422
08/2017,112666.35539901016
09/2017,113096.13368207551
10/2017,116363.31903953082
11/2017,117529.97585412
12/2017,116336.74708311468
01/2018,115377.5096245185
02/2018,112952.33023897794
03/2018,111926.13425641366
04/2018,114296.58385879197
05/2018,118251.85246697367
06/2018,119493.1674503287
07/2018,122469.39023724681
08/2018,125300.66477126896
09/2018,127674.14263000945
10/2018,124624.25860388929
11/2018,127789.7927796198
12/2018,119766.10745395823
01/2019,125529.26791025096
02/2019,130190.54411808327
03/2019,135122.79357936088
04/2019,136702.12436720257
05/2019,136267.22060860437
06/2019,139930.69265850104
07/2019,143458.44030585382
08/2019,147461.25241913376
09/2019,151008.01512117012
10/2019,148684.1084297013
11/2019,151883.0921119593
12/2019,150881.39954048427
01/2020,156370.14301335023
02/2020,144792.22004673016
03/2020,130759.4030276626
04/2020,141342.33928316055
05/2020,141868.92580125525
06/2020,140725.61597117403
07/2020,138176.45714507005
08/2020,140479.96474938854
09/2020,140958.85804900387
10/2020,136545.55953266157
11/2020,142677.83956334894
12/2020,142200.31305183365
01/2021,141006.41171363113
02/2021,138887.0762014402
03/2021,150770.6655433122
04/2021,150691.2242231986
05/2021,151867.36764371442
06/2021,157506.67229857514
07/2021,161641.7144128715
08/2021,165353.51993802033
09/2021,161383.45891612157
10/2021,165418.68626147535
11/2021,166137.99040261455
12/2021,176409.79462803464
01/2022,169193.1609380785
02/2022,165587.1390051084
03/2022,174801.2618809741
04/2022,175199.0915754855
05/2022,171171.4667061203
06/2022,168873.59091856162
07/2022,178175.8498301053
08/2022,176352.77164514776
09/2022,168508.75989369798
10/2022,175291.04923960895
11/2022,177709.18954567844
12/2022,169423.91049268935
01/2023,169913.23081831506
02/2023,167156.1288706779
03/2023,169855.6672433944
04/2023,172767.92214180043
05/2023,170605.17711109246
06/2023,172913.9448920917
07/2023,172707.63061527204
08/2023,172577.14705472527
09/2023,172264.94568852882
10/2023,169453.44277031926
11/2023,173613.15650398907
12/2023,176314.9712682418
01/2024,183730.03196052284
02/2024,185627.58854429124
03/2024,190535.6208068396
04/2024,185436.02366567394