Data,DE000A1E0HS6
12/1978,10000
01/1979,11298.56661700246
02/1979,13004.558235040147
03/1979,12598.274842795412
04/1979,13073.864135032198
05/1979,15151.683964240827
06/1979,14568.168491521872
07/1979,14942.671577368768
08/1979,17025.493407320704
09/1979,26515.253078231854
10/1979,27196.209789912074
11/1979,30996.618435070828
12/1979,51348.43927946065
01/1980,55693.36922194863
02/1980,56579.066620429345
03/1980,22618.311009179648
04/1980,23460.651097854032
05/1980,22221.559394901997
06/1980,26766.07196399543
07/1980,24897.318204889114
08/1980,25836.681563304017
09/1980,32898.021837207605
10/1980,31043.363217793714
11/1980,31353.265458218048
12/1980,27204.17973844202
01/1981,23142.22741213317
02/1981,23547.338598224946
03/1981,23180.92914049185
04/1981,21349.33163404819
05/1981,21665.313023024042
06/1981,17633.034350777274
07/1981,18625.649690528844
08/1981,20574.15121372274
09/1981,19197.130992867897
10/1981,18977.588821955374
11/1981,17010.99407024588
12/1981,17007.14331776231
01/1982,17529.69541613811
02/1982,17146.880598374017
03/1982,15718.461515024945
04/1982,15957.224184571232
05/1982,13871.505142050097
06/1982,13227.779415467821
07/1982,15642.523027081046
08/1982,18331.98903684917
09/1982,19607.572391323756
10/1982,23896.256981530056
11/1982,23478.06990449263
12/1982,25644.41091193604
01/1983,32368.141710181888
02/1983,27897.41368917833
03/1983,25154.862524601704
04/1983,29051.85085461756
05/1983,33108.111135432424
06/1983,29208.727267052964
07/1983,30993.609727284977
08/1983,31582.053120910514
09/1983,29616.85574273773
10/1983,22641.98491472112
11/1983,26087.39652752989
12/1983,24287.43551819329
01/1984,23487.982221743696
02/1984,26029.341965423093
03/1984,25120.97687445449
04/1984,23735.540208582257
05/1984,25043.97085593905
06/1984,23033.67198142009
07/1984,20245.131949254588
08/1984,21432.452686111697
09/1984,22409.558362916352
10/1984,22074.740079869505
11/1984,21061.469098674545
12/1984,19519.545797913604
01/1985,20124.800495440482
02/1985,18842.04942552299
03/1985,22003.41559322196
04/1985,19436.6434886713
05/1985,18833.99926016813
06/1985,18577.39573060641
07/1985,18317.740274362633
08/1985,17438.994183397375
09/1985,17170.01199902738
10/1985,16353.18184229503
11/1985,16046.222886256632
12/1985,14772.3578088925
01/1986,15220.049655955603
02/1986,13573.188313120587
03/1986,13081.761081149984
04/1986,11953.770087072791
05/1986,11966.119676338494
06/1986,11642.542137315444
07/1986,11298.964704607297
08/1986,11229.259632184545
09/1986,11893.661560589282
10/1986,11944.762026711229
11/1986,11582.761837351905
12/1986,11201.591593290921
01/1987,11061.579757888352
02/1987,10703.602866143578
03/1987,12319.931467669385
04/1987,15667.257361555916
05/1987,14636.175359017956
06/1987,13842.851343999353
07/1987,16356.7657732466
08/1987,14948.70725764632
09/1987,14741.157074715922
10/1987,13170.271694755302
11/1987,13044.418581105532
12/1987,11682.670175416437
01/1988,11535.096041607141
02/1988,11119.274734033466
03/1988,12063.23674361243
04/1988,11474.944013533355
05/1988,11830.731217004985
06/1988,12360.257507430577
07/1988,13272.77838796447
08/1988,12886.30214575995
09/1988,12214.781478381543
10/1988,12177.741440285436
11/1988,11248.85061870977
12/1988,11222.192739009133
01/1989,11274.156559388146
02/1989,11430.192707240964
03/1989,11322.365668896004
04/1989,11130.974510321752
05/1989,10743.013737920197
06/1989,10837.018603742617
07/1989,10305.021752111923
08/1989,10304.67414963667
09/1989,10894.998526966125
10/1989,10388.113165421364
11/1989,10887.708004260518
12/1989,9781.652409500843
01/1990,9470.14775013466
02/1990,9189.233701193361
03/1990,9066.102116476042
04/1990,8893.143112603493
05/1990,8982.684105906515
06/1990,8630.311623538206
07/1990,8392.968471038688
08/1990,7979.6597227429675
09/1990,7932.393293272026
10/1990,6778.798734067691
11/1990,6428.51683850138
12/1990,6671.1136919936835
01/1991,6100.137519680806
02/1991,5766.19827066539
03/1991,6542.143205043088
04/1991,7064.7633018101815
05/1991,7519.086276928518
06/1991,8402.817598555308
07/1991,7681.796664535451
08/1991,7042.985431006125
09/1991,7420.787109091261
10/1991,7327.867041464295
11/1991,7008.233417539593
12/1991,6441.148101385813
01/1992,6939.787496468904
02/1992,7070.098900413315
03/1992,7258.507759184662
04/1992,6949.6956752080705
05/1992,6944.649744385297
06/1992,6690.400660150484
07/1992,6254.365472428248
08/1992,5733.678860771338
09/1992,5938.359812518578
10/1992,6180.113965087399
11/1992,6528.696918566913
12/1992,6412.188738734466
01/1993,6602.973125201488
02/1993,6507.948957405644
03/1993,7130.027414635376
04/1993,7609.207210951103
05/1993,8361.791687474595
06/1993,8349.26911475021
07/1993,10079.823810550271
08/1993,9277.696024281186
09/1993,7410.206994171492
10/1993,8188.637074014284
11/1993,8528.052241147538
12/1993,9757.99538644979
01/1994,9776.842893524521
02/1994,10092.196935601663
03/1994,10807.647238409652
04/1994,9975.442787890677
05/1994,10155.18793275978
06/1994,9543.292594615334
07/1994,9319.969628541041
08/1994,9442.15447447384
09/1994,9794.587450332856
10/1994,9134.022073458407
11/1994,8798.537760467525
12/1994,8577.491017194026
01/1995,8136.000248850746
02/1995,7687.960012819292
03/1995,8489.287848853524
04/1995,9403.626934578962
05/1995,8670.998190033502
06/1995,8649.351180616944
07/1995,8176.9240844014685
08/1995,8793.588387802663
09/1995,9246.479433716211
10/1995,8822.919368480083
11/1995,8542.112317936893
12/1995,8610.889201888538
01/1996,9353.254245746764
02/1996,9408.994748976085
03/1996,9391.342335598973
04/1996,9056.336099141474
05/1996,9262.166728811097
06/1996,8654.951733519798
07/1996,8668.096203726196
08/1996,8724.378140081739
09/1996,8265.191091408906
10/1996,8193.025307965034
11/1996,7947.687826377722
12/1996,8215.144628540564
01/1997,8717.254124285177
02/1997,9635.41682823213
03/1997,9515.815206251254
04/1997,8693.446727131817
05/1997,9024.506647171807
06/1997,8856.08233995004
07/1997,8458.596565315816
08/1997,9375.883885312478
09/1997,9982.852308070986
10/1997,9128.825099445152
11/1997,9834.794325473666
12/1997,11425.632930249585
01/1998,11787.961573428267
02/1998,12384.277475851783
03/1998,12377.010035323985
04/1998,12037.194650415466
05/1998,9450.465792989353
06/1998,10286.000485346865
07/1998,10628.26239746089
08/1998,9163.669410118822
09/1998,9828.552586991878
10/1998,8882.138116310254
11/1998,8901.15731826084
12/1998,8985.06826580304
01/1999,9707.636698768194
02/1999,10681.759500551629
03/1999,9862.920387918657
04/1999,10820.283472697633
05/1999,9944.58746526943
06/1999,10641.865764306714
07/1999,10727.122980045879
08/1999,10109.442863607332
09/1999,10999.77350137699
10/1999,10645.47134266631
11/1999,10788.094685575546
12/1999,11153.248498552632
01/2000,11289.716739205182
02/2000,11018.491429864496
03/2000,10848.668085705118
04/2000,11410.839213392623
05/2000,11053.888439192651
06/2000,11016.694458853332
07/2000,11231.740601078189
08/2000,11558.805992102722
09/2000,11688.27206882928
10/2000,11799.094199370726
11/2000,11166.984099925647
12/2000,10294.195983870253
01/2001,10788.45307369335
02/2001,10022.584045546226
03/2001,10254.421592503008
04/2001,10282.647400385127
05/2001,10907.342731501152
06/2001,10681.862691644865
07/2001,10056.374273712378
08/2001,9576.276014604342
09/2001,10481.82158135037
10/2001,9865.829502056502
11/2001,9705.609182571996
12/2001,10695.428208902911
01/2002,10318.265088631864
02/2002,10683.683236745788
03/2002,11164.033607352392
04/2002,10634.88235120453
05/2002,11189.225267425869
06/2002,10160.66964999494
07/2002,9909.956221874667
08/2002,9655.261873301422
09/2002,9558.107419800523
10/2002,9428.798477902998
11/2002,9271.604287561877
12/2002,9238.986058242852
01/2003,9354.287368787223
02/2003,8845.331126414847
03/2003,8493.462924162111
04/2003,8580.83114145436
05/2003,7997.467703194142
06/2003,8171.457304140498
07/2003,9300.446471575637
08/2003,9677.551178071035
09/2003,9089.955141634859
10/2003,9146.023253023055
11/2003,9230.36858629791
12/2003,9770.114595994515
01/2004,10395.249915872777
02/2004,10954.521402496168
03/2004,13230.31938504347
04/2004,10288.95613510406
05/2004,10437.944673028698
06/2004,10038.12389304701
07/2004,11006.07921784407
08/2004,11482.30753669856
09/2004,11078.032362661614
10/2004,11590.623351015076
11/2004,12023.055296956616
12/2004,10308.831636132065
01/2005,10618.674274067696
02/2005,11416.145963440984
03/2005,11413.049377549107
04/2005,11084.971737912503
05/2005,11894.329497078157
06/2005,12074.422298262334
07/2005,12145.92072742506
08/2005,11354.779522509756
09/2005,12846.23472079115
10/2005,13263.798874312175
11/2005,14322.171266041749
12/2005,15362.41352712548
01/2006,16779.557945061646
02/2006,16745.84133237363
03/2006,19914.28784336989
04/2006,20528.335696165723
05/2006,20909.431284798917
06/2006,17240.45567974547
07/2006,18349.075122114766
08/2006,20071.429852138914
09/2006,18669.701014484574
10/2006,19464.81479519921
11/2006,21194.80831550486
12/2006,20024.79441975504
01/2007,21077.989635391263
02/2007,22130.57534917637
03/2007,20472.673433253058
04/2007,20259.1518753251
05/2007,20101.890411773882
06/2007,18944.778560034425
07/2007,19239.783276240047
08/2007,17777.729213714432
09/2007,19622.00272672166
10/2007,20196.727480177375
11/2007,19636.130417282937
12/2007,20416.2804164041
01/2008,22916.22666671995
02/2008,26325.21581270757
03/2008,23144.74258146896
04/2008,21552.37570503745
05/2008,22087.951785142806
06/2008,22753.54707502591
07/2008,22747.66122522858
08/2008,18963.597283045765
09/2008,18394.20713633376
10/2008,14761.220717945323
11/2008,16130.38989348838
12/2008,15722.35932700288
01/2009,19789.358347425874
02/2009,21174.343660864404
03/2009,19958.503289894245
04/2009,19268.90215403103
05/2009,22289.341165029367
06/2009,19961.77210994766
07/2009,19505.682933808654
08/2009,20606.101705133227
09/2009,22715.421880185382
10/2009,22630.829808339804
11/2009,24399.787961857404
12/2009,23823.587698970718
01/2010,23553.738217475366
02/2010,23980.256291170943
03/2010,26200.919382943164
04/2010,28212.413387911518
05/2010,30366.20191062746
06/2010,30790.3155545487
07/2010,27319.599816029582
08/2010,29983.48760660198
09/2010,32570.886250850795
10/2010,34815.96560019025
11/2010,42015.9481089854
12/2010,46130.121929448935
01/2011,40770.065003449854
02/2011,48684.58465076637
03/2011,53590.218094106414
04/2011,65869.59447681329
05/2011,53980.61862161035
06/2011,48662.65600038804
07/2011,55797.65942407518
08/2011,57435.24621563479
09/2011,45242.241004274736
10/2011,49048.78688152925
11/2011,46843.76299238562
12/2011,43650.2730867689
01/2012,51095.03795004349
02/2012,55473.62603532958
03/2012,48617.77816870415
04/2012,47260.24441668016
05/2012,45331.944824011065
06/2012,43022.45569552138
07/2012,45903.51147174859
08/2012,48376.48048845359
09/2012,53551.69536666561
10/2012,49629.10226255098
11/2012,52715.882308026936
12/2012,45313.54414000976
01/2013,47172.21716239117
02/2013,43987.60816056891
03/2013,44603.00456410834
04/2013,37239.251923989046
05/2013,34580.34080837044
06/2013,28721.104797337346
07/2013,29910.166726687024
08/2013,35557.398587321964
09/2013,31945.525769268523
10/2013,32374.964088696604
11/2013,29117.820605521345
12/2013,28108.03687207731
01/2014,28391.115374743174
02/2014,30590.98832915483
03/2014,28763.178965948668
04/2014,27635.460348716948
05/2014,27711.262900321708
06/2014,30315.737324591595
07/2014,30670.903300602346
08/2014,29270.158670026914
09/2014,26949.249355665394
10/2014,25627.16759504107
11/2014,25337.759257366426
12/2014,26043.053035004574
01/2015,29624.019397291464
02/2015,29098.686151114078
03/2015,30518.628396806846
04/2015,29126.475688660823
05/2015,30037.639060715606
06/2015,27726.07507992127
07/2015,26224.095551385984
08/2015,25424.101174059197
09/2015,25812.996416198606
10/2015,27996.085113282534
11/2015,26254.59809549853
12/2015,25031.98835324303
01/2016,25417.50974216525
02/2016,26696.79240324473
03/2016,26612.966068841983
04/2016,30837.97107941073
05/2016,28346.70005594903
06/2016,32548.65175132673
07/2016,35480.944492146205
08/2016,33110.829319655604
09/2016,34088.73943047055
10/2016,31890.834499074812
11/2016,30798.289523313393
12/2016,30261.14759988004
01/2017,31566.541680834547
02/2017,33861.07557681992
03/2017,33148.13166748379
04/2017,31245.299659532968
05/2017,30249.770713065518
06/2017,28290.045915867082
07/2017,28005.45893552623
08/2017,28725.158500420177
09/2017,27965.372526503837
10/2017,28292.43901239715
11/2017,27366.163652587555
12/2017,27509.812960702377
01/2018,27049.156928949025
02/2018,26313.403833938977
03/2018,25822.250096145264
04/2018,26492.776660743766
05/2018,27628.354942000726
06/2018,26845.17740766719
07/2018,25659.67819912068
08/2018,24540.118637798183
09/2018,24101.052257040556
10/2018,24702.727418839397
11/2018,24425.10451892952
12/2018,26316.562294855434
01/2019,27255.334607587945
02/2019,26974.53410297255
03/2019,26160.940044121715
04/2019,25992.323707169347
05/2019,25258.618711849373
06/2019,26006.78479920445
07/2019,28720.68642009423
08/2019,32374.773876110652
09/2019,30784.318935932817
10/2019,31436.030110224907
11/2019,29990.351188323806
12/2019,31173.9868357251
01/2020,31395.99358489466
02/2020,30362.83858290002
03/2020,24648.88647611639
04/2020,27326.388119181018
05/2020,30603.776776686052
06/2020,30865.334159181682
07/2020,39338.008375157544
08/2020,44341.044142539235
09/2020,39211.43598317874
10/2020,39066.46924110124
11/2020,35752.19568139432
12/2020,41723.60244794695
01/2021,43655.21410970436
02/2021,42530.80759953087
03/2021,39529.15531937196
04/2021,41344.93237463803
05/2021,43704.815390548865
06/2021,41827.3258308587
07/2021,41342.58373308517
08/2021,39172.9807372505
09/2021,35826.736666687626
10/2021,39724.39314112608
11/2021,38755.598221268534
12/2021,39243.39986990043
01/2022,38810.071195284836
02/2022,41836.21591012868
03/2022,42997.58064724506
04/2022,42771.646018440275
05/2022,39060.26369210647
06/2022,37765.68773965477
07/2022,37793.548257751776
08/2022,34457.06010773827
09/2022,37453.86049938705
10/2022,37094.99909369969
11/2022,39860.2068421334
12/2022,43052.661752823886
01/2023,40692.8664429807
02/2023,37040.270197856786
03/2023,42076.84452021721
04/2023,43191.93087859681
05/2023,41675.353008246304
06/2023,39576.476655472004
07/2023,42272.3674817987
08/2023,43178.04476283637
09/2023,41644.5536017973
10/2023,41757.69189050599
11/2023,43734.214648482164
12/2023,41121.803251170306
01/2024,40682.58526118907
02/2024,39387.58297065111
03/2024,43313.29785536728
04/2024,47440.07242177742