Data,IE000CFH1JX2
03/2007,10000
04/2007,10336.778333453158
05/2007,10723.890683152204
06/2007,10664.571824766483
07/2007,10211.394490654126
08/2007,10293.672555236637
09/2007,10347.841747711094
10/2007,10342.681115490048
11/2007,9782.57464872546
12/2007,9934.03160404543
01/2008,8948.674934271221
02/2008,9055.446269836693
03/2008,8473.178548745567
04/2008,8986.516883935079
05/2008,9434.428196478873
06/2008,8518.246873772345
07/2008,8468.481805555652
08/2008,8990.37783519168
09/2008,7940.609570742804
10/2008,7175.37088850463
11/2008,6578.106466683128
12/2008,6363.368226851193
01/2009,6251.743816244113
02/2009,5795.279239738464
03/2009,5664.454394656854
04/2009,6496.647662558785
05/2009,6667.063495638078
06/2009,6859.762221615569
07/2009,7184.267621196754
08/2009,7381.70906353301
09/2009,7560.147013192773
10/2009,7268.060653300574
11/2009,7478.205374889943
12/2009,8057.1200934671
01/2010,7990.165211640243
02/2010,8187.646764491869
03/2010,8640.433812659288
04/2010,8804.423297809662
05/2010,8597.680851155543
06/2010,8557.696748950051
07/2010,8746.73405876243
08/2010,8483.988175661478
09/2010,8598.223277440815
10/2010,8862.433982988441
11/2010,9414.88393833163
12/2010,9963.237777317823
01/2011,9519.57331072913
02/2011,9607.435622669625
03/2011,9568.46926574372
04/2011,9590.774886595662
05/2011,9805.45227328488
06/2011,9590.676420281783
07/2011,9514.335330107519
08/2011,8862.760775475337
09/2011,8744.885595364427
10/2011,9071.122605058927
11/2011,9296.061097232037
12/2011,9486.184476068496
01/2012,9836.511119938352
02/2012,10064.221005125817
03/2012,10316.83768129738
04/2012,10511.574576365707
05/2012,10372.55517319992
06/2012,10585.874174287908
07/2012,11037.016162506417
08/2012,10880.00319975332
09/2012,10965.797503446456
10/2012,10692.415794686875
11/2012,11015.831646792336
12/2012,11158.190347561098
01/2013,11359.514164962326
02/2013,11948.862346013293
03/2013,12394.617620683859
04/2013,12313.248407705036
05/2013,12424.607631903911
06/2013,11805.283344839496
07/2013,12221.752243479446
08/2013,11976.897974007787
09/2013,12609.00996147529
10/2013,12932.445114025322
11/2013,13167.56805529238
12/2013,13438.730854940419
01/2014,13364.165584239574
02/2014,14088.301313146143
03/2014,14115.389727353406
04/2014,13987.562888882836
05/2014,14536.014551695418
06/2014,14793.68082420479
07/2014,14289.457556621004
08/2014,14765.056495738912
09/2014,14719.215254275105
10/2014,15119.168729660347
11/2014,15390.618604013172
12/2014,15786.84771036836
01/2015,16724.201424062958
02/2015,17219.872479851998
03/2015,17846.20771392792
04/2015,17765.043536212303
05/2015,18189.921318500426
06/2015,17337.75032504399
07/2015,17613.756935852987
08/2015,16172.054013208373
09/2015,16014.85208359691
10/2015,17509.708604963875
11/2015,18435.828914526293
12/2015,17228.939297711055
01/2016,16734.76349830412
02/2016,16647.969573525046
03/2016,17089.800755344884
04/2016,17722.47632692479
05/2016,18202.481902130654
06/2016,18532.79540059723
07/2016,18804.690527681763
08/2016,18722.071289083444
09/2016,18997.560068509218
10/2016,18414.583612898423
11/2016,18710.191131668093
12/2016,18887.646611852393
01/2017,19195.742236413862
02/2017,19850.058098052767
03/2017,20249.6135747007
04/2017,20436.53974656117
05/2017,20324.362781664164
06/2017,19836.67596518271
07/2017,19827.732013598896
08/2017,19673.078340683413
09/2017,20274.673735396565
10/2017,21052.06335676624
11/2017,21274.81946093036
12/2017,20963.108445078535
01/2018,20325.59045208912
02/2018,19521.44816881627
03/2018,19527.840633716038
04/2018,19991.30264233701
05/2018,20621.69040084519
06/2018,20360.299784609477
07/2018,21232.268203075593
08/2018,21404.651041420333
09/2018,21331.853067956014
10/2018,20173.27878737148
11/2018,20882.928930752198
12/2018,19672.78493071864
01/2019,21115.485811032446
02/2019,22151.276461610596
03/2019,22717.782501612284
04/2019,23358.362245524986
05/2019,22565.4854253443
06/2019,23700.386999312377
07/2019,23976.530819754837
08/2019,24285.10531958013
09/2019,25240.018617965463
10/2019,25508.027842418072
11/2019,26127.1867930085
12/2019,26671.12078129052
01/2020,27589.88418589335
02/2020,25429.991164935924
03/2020,22151.06789138491
04/2020,23915.27897143072
05/2020,24243.00733191415
06/2020,24338.499373167462
07/2020,24484.92552944473
08/2020,24996.34553429144
09/2020,25684.084076011775
10/2020,25766.657470252027
11/2020,27478.49458951121
12/2020,28169.260880439462
01/2021,28542.974237932078
02/2021,28715.802586466056
03/2021,30864.40948109194
04/2021,31732.763891694376
05/2021,32314.54309587405
06/2021,33137.316246363844
07/2021,35333.474457584955
08/2021,36929.630205600435
09/2021,35460.028922141195
10/2021,37247.977977382354
11/2021,37681.44442893401
12/2021,39978.632394569184
01/2022,36018.903327922126
02/2022,34618.58348970181
03/2022,35418.22829417329
04/2022,34365.85319974376
05/2022,33448.82048057569
06/2022,31664.967457108625
07/2022,35708.160023349476
08/2022,34341.479454759836
09/2022,31478.1587421137
10/2022,34349.906262811186
11/2022,35033.201215722715
12/2022,33114.706176618136
01/2023,35159.918293169525
02/2023,34806.718665486704
03/2023,34631.08317921127
04/2023,34176.28066351269
05/2023,34170.35864540535
06/2023,35682.68984620038
07/2023,36212.83464311045
08/2023,34936.087113397676
09/2023,33131.52094643756
10/2023,32114.864797521543
11/2023,34621.52812891167
12/2023,36464.574929650604
01/2024,35787.33225256535
02/2024,37363.324345358116
03/2024,38906.15889675098
04/2024,38932.12410654554