Data,IE000RHYOR04
10/2013,10000
11/2013,10003.59900541004
12/2013,10006.02505959855
01/2014,10014.820156283518
02/2014,10021.08333348511
03/2014,10025.966566227016
04/2014,10029.503938872349
05/2014,10035.976359633769
06/2014,10044.26938725181
07/2014,10047.496927151155
08/2014,10055.063805609132
09/2014,10062.781220098528
10/2014,10064.139045177337
11/2014,10065.11340430656
12/2014,10065.238519618948
01/2015,10070.101736185221
02/2015,10074.752088219127
03/2015,10072.945453193795
04/2015,10076.45917251803
05/2015,10077.212910895041
06/2015,10073.826496061662
07/2015,10074.333272353557
08/2015,10077.03260539014
09/2015,10068.806075876526
10/2015,10070.19427956621
11/2015,10075.223938031695
12/2015,10073.453995156475
01/2016,10075.740762040205
02/2016,10076.861745869726
03/2016,10079.792494369533
04/2016,10082.818401113065
05/2016,10083.69996215468
06/2016,10080.114672633255
07/2016,10083.438470038382
08/2016,10087.52053601857
09/2016,10077.809426529204
10/2016,10085.208076986593
11/2016,10083.56961516711
12/2016,10082.544898123346
01/2017,10086.451082037649
02/2017,10088.012205336181
03/2017,10083.603800663112
04/2017,10083.822048953798
05/2017,10083.043142489603
06/2017,10081.750157512484
07/2017,10083.17994784465
08/2017,10080.823443819818
09/2017,10080.692876273715
10/2017,10081.601795110688
11/2017,10078.942382049452
12/2017,10074.402769003305
01/2018,10075.031845992373
02/2018,10071.626308541432
03/2018,10063.43051626423
04/2018,10062.280388124835
05/2018,10052.400314403862
06/2018,10049.244053083077
07/2018,10051.724683203105
08/2018,10048.004570756659
09/2018,10047.331587458759
10/2018,10041.937431579452
11/2018,10024.643851983283
12/2018,10019.983255815227
01/2019,10027.886035923084
02/2019,10034.53479815888
03/2019,10037.673960726906
04/2019,10041.856287497
05/2019,10036.50894268476
06/2019,10041.124162963923
07/2019,10045.094480254458
08/2019,10042.663856424755
09/2019,10040.582765842022
10/2019,10038.105900370665
11/2019,10035.72429871243
12/2019,10035.324941386945
01/2020,10035.018136223343
02/2020,10028.318682450192
03/2020,9913.96391232607
04/2020,9958.207064854
05/2020,9980.370400196329
06/2020,10006.307631891365
07/2020,10023.219149630202
08/2020,10031.879966649747
09/2020,10036.19652064418
10/2020,10038.791093312815
11/2020,10043.274639633752
12/2020,10040.196671799536
01/2021,10038.88876498371
02/2021,10036.888204482404
03/2021,10032.31413869353
04/2021,10030.565874743561
05/2021,10028.633834773036
06/2021,10025.441752836427
07/2021,10022.349168535056
08/2021,10019.1936598764
09/2021,10016.414461449745
10/2021,10011.207835153484
11/2021,10007.57941624024
12/2021,10003.100830023095
01/2022,10000.399555704907
02/2022,9988.463082390494
03/2022,9984.532645448771
04/2022,9976.055899486617
05/2022,9969.705217805778
06/2022,9943.576482459168
07/2022,9951.746397521334
08/2022,9946.946952496113
09/2022,9915.624098820464
10/2022,9923.012904154913
11/2022,9952.96634987595
12/2022,9966.411905935227
01/2023,9985.855230360581
02/2023,9997.740510753663
03/2023,10020.604714959181
04/2023,10046.56761717251
05/2023,10067.41229494744
06/2023,10091.33073282564
07/2023,10125.261286962248
08/2023,10157.743687254499
09/2023,10188.055267837655
10/2023,10222.961222067466
11/2023,10259.368581645847
12/2023,10295.388959473123
01/2024,10334.335493732513
02/2024,10365.99377348128
03/2024,10398.609884102745
04/2024,10429.426653478142