Data,IE00B2NPKV68
02/2008,10000
03/2008,9568.007580329118
04/2008,9827.552763916256
05/2008,9862.442921687749
06/2008,9489.234407229294
07/2008,9709.14548756833
08/2008,10362.360808146783
09/2008,9906.771815931557
10/2008,9336.829295174293
11/2008,9631.85988385384
12/2008,9546.199119344636
01/2009,10437.92887331934
02/2009,10425.236859504537
03/2009,10260.769757154185
04/2009,10858.365366358208
05/2009,10629.24640297266
06/2009,10725.450314835296
07/2009,11062.143035179997
08/2009,11168.531955534545
09/2009,11460.716754772464
10/2009,11350.531778292514
11/2009,11297.191857916141
12/2009,11823.851213287104
01/2010,12204.525003631175
02/2010,12742.065437038733
03/2010,13149.884367069011
04/2010,13402.451827238925
05/2010,14261.494862938103
06/2010,14598.103346376516
07/2010,14349.17855620266
08/2010,15109.420620534072
09/2010,14268.380548884066
10/2010,14310.024129926054
11/2010,14713.358403799153
12/2010,14242.8071137234
01/2011,13818.003764352345
02/2011,13700.097797968188
03/2011,13499.493347983394
04/2011,13082.413473724997
05/2011,13723.085354741104
06/2011,13798.830546377076
07/2011,14254.506023760294
08/2011,14148.473457201871
09/2011,14457.842058642827
10/2011,14585.57277290833
11/2011,15067.512178219582
12/2011,15817.463979948616
01/2012,15782.00001563279
02/2012,15870.413498376793
03/2012,15982.146645821638
04/2012,16433.415726613614
05/2012,17046.048365759463
06/2012,17442.106295550548
07/2012,18607.085236366023
08/2012,18320.62100164124
09/2012,18166.922961892302
10/2012,18225.667464467984
11/2012,18483.460779639627
12/2012,18319.151542200623
01/2013,17533.17764861636
02/2013,18021.30601423323
03/2013,18322.956133302258
04/2013,18527.772993654595
05/2013,17864.527867528996
06/2013,16835.94674754019
07/2013,16763.821783143056
08/2013,16322.942349561748
09/2013,16468.72693550552
10/2013,16770.42183856272
11/2013,16461.92779129674
12/2013,16321.961734415585
01/2014,16506.37885337036
02/2014,16702.053500598486
03/2014,16942.44746564802
04/2014,17085.708320797534
05/2014,17946.623196347617
06/2014,17936.62887825739
07/2014,18373.42042962759
08/2014,18782.83743099894
09/2014,19273.09950599474
10/2014,19721.407599515776
11/2014,19788.73245149246
12/2014,19860.940209264558
01/2015,21535.61207250647
02/2015,21844.30500091113
03/2015,22856.46202869118
04/2015,22273.89134154827
05/2015,22647.10344799413
06/2015,21801.753252224284
07/2015,22325.65085057766
08/2015,21602.57677663689
09/2015,21319.270761613967
10/2015,22314.82586607849
11/2015,23222.396023175526
12/2015,22228.13683415709
01/2016,22151.54279436402
02/2016,22642.739630266067
03/2016,22366.388645236773
04/2016,22727.43084094643
05/2016,23162.678939285823
06/2016,24123.580053509268
07/2016,24454.945657549313
08/2016,24871.745504553983
09/2016,24891.17256149752
10/2016,25013.153306273405
11/2016,24630.49556255391
12/2016,25179.3139261706
01/2017,25041.193094565093
02/2017,25929.99170587566
03/2017,25781.99169946463
04/2017,25619.624458058355
05/2017,25162.963902406864
06/2017,24673.352556259637
07/2017,24213.851214518494
08/2017,24448.561526179383
09/2017,24461.4039017424
10/2017,24887.331226981456
11/2017,24449.48316506428
12/2017,24334.866980391
01/2018,23394.450635975645
02/2018,23323.298028523106
03/2018,23183.98357148882
04/2018,23241.779685238995
05/2018,23742.457151377497
06/2018,23486.531128641767
07/2018,23968.966682620594
08/2018,23645.60576706785
09/2018,24217.364412973755
10/2018,24157.532713286768
11/2018,23929.616794688947
12/2018,24062.89776024095
01/2019,25130.51849205554
02/2019,25532.470235305467
03/2019,26315.473831920324
04/2019,26388.859421891648
05/2019,26643.536900603987
06/2019,27048.580085399226
07/2019,27945.75110590317
08/2019,28466.872983985595
09/2019,28676.855847045055
10/2019,28083.80555561834
11/2019,28387.89324685599
12/2019,28346.012067291394
01/2020,29267.078889129563
02/2020,29143.558920433763
03/2020,25056.59552360016
04/2020,25856.14041591442
05/2020,26870.299866326517
06/2020,27641.037642813015
07/2020,27158.63661033348
08/2020,27041.308333306064
09/2020,27018.504428319327
10/2020,27030.802256245675
11/2020,27465.57790371271
12/2020,27324.66933130232
01/2021,27242.267408630818
02/2021,26464.02896862464
03/2021,27056.31453711527
04/2021,26876.288194300778
05/2021,26913.78106792971
06/2021,27860.639804312774
07/2021,27957.864603302423
08/2021,28380.809639209197
09/2021,28329.49126014973
10/2021,28171.784825101717
11/2021,28333.82722375298
12/2021,28867.435931837008
01/2022,28428.76983186011
02/2022,26479.624347605535
03/2022,26497.17992321373
04/2022,26191.358859493193
05/2022,25834.083954916696
06/2022,24865.77598054072
07/2022,26147.022155379615
08/2022,26308.487121481157
09/2022,25169.19684869436
10/2022,24797.97958798985
11/2022,25559.73962174797
12/2022,24908.066241054195
01/2023,25322.747860765154
02/2023,25193.549027430377
03/2023,24868.86425971902
04/2023,24733.982836746323
05/2023,25215.55399277485
06/2023,25323.414516686455
07/2023,25434.624004244542
08/2023,25363.323853640904
09/2023,25247.785678467942
10/2023,24811.422498499385
11/2023,25546.992585991233
12/2023,26522.15516748569
01/2024,26699.699415857474
02/2024,26981.080852360956
03/2024,27571.820772307314
04/2024,27180.09449556846