Data,IE00B42Z5J44
09/2010,10000
10/2010,9832.278566666666
11/2010,10454.547602264365
12/2010,10894.281410439462
01/2011,11012.808080112065
02/2011,11512.245086436487
03/2011,10605.061607535212
04/2011,10424.422754042853
05/2011,10266.126703696684
06/2011,10357.013287873257
07/2011,10254.93557626278
08/2011,9331.664672571364
09/2011,9246.29757696721
10/2011,9334.9460955299
11/2011,8868.692282685712
12/2011,8865.092266019348
01/2012,9180.659875730016
02/2012,10156.228646493728
03/2012,10456.51620510433
04/2012,9793.112491841495
05/2012,8653.632540776342
06/2012,9235.740346577288
07/2012,8818.796651635967
08/2012,8770.383379063493
09/2012,8911.182826336286
10/2012,8978.994440690958
11/2012,9457.078134788268
12/2012,10372.351286362622
01/2013,11264.722825865496
02/2013,11699.919390283896
03/2013,12497.697050330982
04/2013,13982.847356373715
05/2013,13670.887623384013
06/2013,13674.89407123822
07/2013,13608.70017167147
08/2013,13272.655490836605
09/2013,14352.617452687697
10/2013,14345.588303793287
11/2013,15161.17493619182
12/2013,15667.117512604751
01/2014,14552.52716721026
02/2014,14487.756445033154
03/2014,14424.84142007314
04/2014,13933.46744338677
05/2014,14446.353383769729
06/2014,15132.701313723675
07/2014,15447.69474069662
08/2014,15258.520820493994
09/2014,15981.141528254191
10/2014,16111.283155366227
11/2014,16999.529508770443
12/2014,16929.925843198587
01/2015,14757.646009861013
02/2015,18292.741193307254
03/2015,18639.9728798062
04/2015,19240.86038361688
05/2015,20189.397374487977
06/2015,19557.902535974677
07/2015,19883.243526319722
08/2015,18295.373535129904
09/2015,16817.37124428783
10/2015,18650.488238530823
11/2015,18860.63615558413
12/2015,18459.08735882913
01/2016,17041.53190890024
02/2016,15377.049015520284
03/2016,16020.546234657853
04/2016,15948.025984267695
05/2016,16344.84368611097
06/2016,14617.0602657819
07/2016,15533.49855241836
08/2016,15725.879944393831
09/2016,15637.629505391405
10/2016,16423.717212430667
11/2016,17320.83516565332
12/2016,17883.97901375458
01/2017,17898.225032802944
02/2017,17968.204143178245
03/2017,17818.161195415767
04/2017,18000.182439459866
05/2017,18367.497902669722
06/2017,18831.262877325633
07/2017,18879.808730607154
08/2017,18780.20640832069
09/2017,19556.248991119894
10/2017,20644.35389490947
11/2017,20918.304208934154
12/2017,21179.753866625593
01/2018,21441.8878692268
02/2018,20586.755728864497
03/2018,20074.822218443518
04/2018,20768.138094604077
05/2018,20387.80607540103
06/2018,20244.442951823985
07/2018,20519.112448362477
08/2018,20352.43858321644
09/2018,21446.88494088076
10/2018,19436.034400949364
11/2018,19615.79511391211
12/2018,17631.48043220261
01/2019,18546.3405740591
02/2019,18942.885685629273
03/2019,18927.119313631083
04/2019,19300.605256063373
05/2019,18019.66854915589
06/2019,18537.431885282025
07/2019,18696.94927557389
08/2019,18053.622134449684
09/2019,19103.54743052855
10/2019,20006.094452389534
11/2019,20364.430134212405
12/2019,20624.737503710567
01/2020,20268.88651303722
02/2020,18286.68069778537
03/2020,16979.39470832059
04/2020,17725.608598623916
05/2020,18866.904126735113
06/2020,18877.43839482438
07/2020,18207.39497753122
08/2020,19620.15639054274
09/2020,19712.35635530369
10/2020,19183.75657686609
11/2020,21464.09357777759
12/2020,22105.669972179086
01/2021,22171.957247180755
02/2021,22876.485540191945
03/2021,23954.830552040494
04/2021,23325.447551713904
05/2021,23683.88879463535
06/2021,23937.7830174146
07/2021,23341.49361915101
08/2021,24062.310144601433
09/2021,25092.362521676434
10/2021,24768.663136548854
11/2021,24009.010827455557
12/2021,24769.7101475244
01/2022,23488.915331564785
02/2022,23195.593749205822
03/2022,24248.458558661896
04/2022,23597.15767408124
05/2022,23794.028803128807
06/2022,23142.96872525056
07/2022,24064.906953134632
08/2022,24310.493177533262
09/2022,22776.487700536236
10/2022,24052.834002359083
11/2022,24806.746589401064
12/2022,23519.00037475076
01/2023,24653.60509395238
02/2023,24868.395227354325
03/2023,25311.160204720534
04/2023,26023.370621566457
05/2023,27272.56559292968
06/2023,29351.04813788186
07/2023,29808.968513536438
08/2023,29887.242791173572
09/2023,30075.760180899582
10/2023,29273.754749180578
11/2023,31095.467099691232
12/2023,31042.84157955438
01/2024,33719.3268619384
02/2024,35624.7781773136
03/2024,37216.6174385477
04/2024,36938.233669601