Data,IE00BFF5RZ82
06/1994,10000
07/1994,9997.48896988919
08/1994,10477.307803565418
09/1994,10058.443799686464
10/1994,10047.595230775476
11/1994,9693.319139351464
12/1994,10058.486010855408
01/1995,9976.41794518381
02/1995,10275.091017316307
03/1995,10327.841676103022
04/1995,10565.370041790004
05/1995,11127.109776778194
06/1995,11449.974769085547
07/1995,11715.213664224826
08/1995,11995.770372927804
09/1995,12725.511186504402
10/1995,12880.975053774053
11/1995,13273.769970962128
12/1995,13603.26861408159
01/1996,14439.633906590385
02/1996,14775.772507182304
03/1996,14747.450098115452
04/1996,15145.4081575839
05/1996,15949.44520506701
06/1996,16051.147167849607
07/1996,15189.827069258441
08/1996,15442.379999328841
09/1996,16628.366533004555
10/1996,17195.196988065287
11/1996,18190.771153689333
12/1996,18121.936934620902
01/1997,20314.516066915232
02/1997,21254.66955510119
03/1997,20326.13919005472
04/1997,22480.263806845178
05/1997,23555.455985968438
06/1997,25127.727743365496
07/1997,28014.709784800365
08/1997,26637.60135275711
09/1997,27359.696471209834
10/1997,26070.263385326067
11/1997,26525.86273885738
12/1997,27709.188675533373
01/1998,29091.669707292192
02/1998,30887.075064523775
03/1998,33058.195052251715
04/1998,34167.12218778816
05/1998,32819.68085060855
06/1998,35598.49860709348
07/1998,36232.99043117168
08/1998,30393.832677303988
09/1998,30356.88695299101
10/1998,31947.422865260633
11/1998,35583.009760002904
12/1998,38967.52506069018
01/1999,41957.13474407294
02/1999,42265.067862214026
03/1999,45839.138870807896
04/1999,46587.85143417223
05/1999,45897.86989729839
06/1999,50219.98270321664
07/1999,46870.64387707238
08/1999,47184.988846786866
09/1999,46650.61131198509
10/1999,51525.30940738839
11/1999,55531.718831093094
12/1999,63857.379586035124
01/2000,61009.83116856225
02/2000,63637.44633780171
03/2000,70707.61570968952
04/2000,70432.71122304267
05/2000,64524.68297458471
06/2000,66577.4884491148
07/2000,67618.25875752204
08/2000,75855.5254116884
09/2000,69909.12777283268
10/2000,69500.47138072847
11/2000,64551.25607063797
12/2000,62165.48574624726
01/2001,59740.094037892944
02/2001,55138.18709726013
03/2001,53258.33843695233
04/2001,56829.017767927755
05/2001,59513.693219807596
06/2001,57465.938043027105
07/2001,55520.593525426564
08/2001,51642.17491893197
09/2001,48422.07456561153
10/2001,48583.41209341728
11/2001,52580.88382934593
12/2001,53964.00773382582
01/2002,55736.59643879821
02/2002,56181.085232097044
03/2002,57628.86078893627
04/2002,55841.49802387989
05/2002,53645.79441644716
06/2002,47873.959086640156
07/2002,45821.24460571408
08/2002,46144.56026907314
09/2002,43008.134771199344
10/2002,43440.835236751234
11/2002,42652.83365159865
12/2002,39542.63255954695
01/2003,37636.819877745234
02/2003,37417.16250740464
03/2003,37405.49846309766
04/2003,38821.94579318935
05/2003,38259.70199920056
06/2003,40210.251266771105
07/2003,41688.60876063565
08/2003,43774.20009270307
09/2003,40730.36361060983
10/2003,43387.2372248987
11/2003,42447.369523658184
12/2003,41168.712166050595
01/2004,43026.92004139277
02/2004,43478.18612850462
03/2004,43933.988380013725
04/2004,42947.44926850602
05/2004,43085.94143499241
06/2004,44558.19853462804
07/2004,42742.106915073746
08/2004,42793.72897259542
09/2004,44018.415917201644
10/2004,43204.538993931514
11/2004,44573.04630116198
12/2004,44344.189983323995
01/2005,45365.85230680703
02/2005,47253.515339934405
03/2005,47823.5725591065
04/2005,45970.17314680074
05/2005,50128.97740984258
06/2005,52974.543708256
07/2005,55153.62855817864
08/2005,55578.451859184606
09/2005,58542.71109269974
10/2005,56827.302669091565
11/2005,59837.15159079235
12/2005,60703.16458030298
01/2006,62957.61794434078
02/2006,61803.76392018106
03/2006,61695.29041251563
04/2006,60254.61880408715
05/2006,56244.0781965907
06/2006,57428.67743102547
07/2006,55301.252039099476
08/2006,54489.77325496721
09/2006,56382.454973681175
10/2006,58922.46762920571
11/2006,58982.88728631104
12/2006,59905.05138711323
01/2007,63193.336846594415
02/2007,60127.251100713744
03/2007,60981.94848957
04/2007,61937.20106659998
05/2007,64864.30589873682
06/2007,62809.09856635107
07/2007,59847.32850865892
08/2007,60593.1970080972
09/2007,62676.274780737695
10/2007,64195.1454665553
11/2007,60718.87844609634
12/2007,62769.06640918718
01/2008,54920.69487687379
02/2008,53600.48879789152
03/2008,51180.882405942175
04/2008,56427.97059915695
05/2008,58798.34653488352
06/2008,57042.039282724494
07/2008,52310.39227188638
08/2008,54967.82452790211
09/2008,47824.31184431932
10/2008,45858.87545101126
11/2008,42064.64518618701
12/2008,39011.828304015165
01/2009,38478.41360514321
02/2009,35101.803246078445
03/2009,35441.09279587004
04/2009,37553.555301706554
05/2009,36899.26279812788
06/2009,37661.847162105725
07/2009,40110.328322617286
08/2009,40208.881579125664
09/2009,40674.634379659234
10/2009,39039.98008195436
11/2009,41065.307934725286
12/2009,44049.38803139612
01/2010,42507.11616405174
02/2010,45830.2865086372
03/2010,49516.74412328729
04/2010,50396.52678762561
05/2010,50781.67040522795
06/2010,48129.68733374787
07/2010,48809.23809271357
08/2010,47938.79397178098
09/2010,49134.98154643151
10/2010,50761.93633386009
11/2010,55106.81486528077
12/2010,55817.29105438571
01/2011,54754.29697732741
02/2011,56342.87871456376
03/2011,55955.50748646772
04/2011,55549.91512669292
05/2011,57064.28883900016
06/2011,56382.48715619457
07/2011,56054.12881444902
08/2011,52131.17375525289
09/2011,52959.575529012756
10/2011,55260.733864024376
11/2011,57837.84967135152
12/2011,60677.74916727576
01/2012,60720.17281320829
02/2012,62483.451080994346
03/2012,65569.60144251643
04/2012,67441.57683769522
05/2012,68438.4088507116
06/2012,69449.19465016946
07/2012,72099.3661675746
08/2012,71127.70544850755
09/2012,70596.31320861899
10/2012,68562.16033465067
11/2012,69753.17869830613
12/2012,67879.30883551778
01/2013,68937.52649113131
02/2013,72566.99148189541
03/2013,78096.3578126298
04/2013,78674.53789974874
05/2013,78950.43641625233
06/2013,77704.96234052657
07/2013,81327.17750680528
08/2013,78712.99327293865
09/2013,79523.50685051896
10/2013,82810.57220690035
11/2013,85481.98212701673
12/2013,86866.94701715527
01/2014,86624.92970012448
02/2014,90357.00121783113
03/2014,87429.7117524642
04/2014,86248.95623534807
05/2014,91243.80007239852
06/2014,92755.85741417273
07/2014,93648.72434964773
08/2014,99363.08739792866
09/2014,103464.76126837402
10/2014,106341.80193497034
11/2014,110658.26097334213
12/2014,112512.38792969086
01/2015,120104.87288870153
02/2015,127290.66279251577
03/2015,131379.82950239038
04/2015,124905.48097646995
05/2015,131794.76000136626
06/2015,128822.78596032274
07/2015,136277.84424105327
08/2015,125258.68847013639
09/2015,122913.42131919238
10/2015,134050.91795379145
11/2015,140250.28438318448
12/2015,136123.0786634272
01/2016,130677.78624849966
02/2016,129270.53765772031
03/2016,130061.32692947742
04/2016,128968.94557372158
05/2016,135028.75787994353
06/2016,139629.819122424
07/2016,143174.57467111104
08/2016,140755.11737343195
09/2016,140991.89239047456
10/2016,140872.70857882136
11/2016,144031.64551962673
12/2016,146818.33373597986
01/2017,148611.41520647958
02/2017,156331.3913607058
03/2017,158200.79770904637
04/2017,158599.55840734852
05/2017,161832.91422079006
06/2017,159688.37610152242
07/2017,160663.60244278522
08/2017,161602.89584540977
09/2017,166415.0926719285
10/2017,177182.0670662721
11/2017,178772.92976530333
12/2017,176750.67106927553
01/2018,184057.3808628798
02/2018,184948.8631983791
03/2018,176594.02948759618
04/2018,181417.25613815477
05/2018,193724.3386559878
06/2018,194076.9818647497
07/2018,196292.94917303167
08/2018,209201.72242035385
09/2018,212457.93451237585
10/2018,195903.261688547
11/2018,197770.2891245357
12/2018,181032.26257221663
01/2019,192351.7164024978
02/2019,200377.16720769883
03/2019,207883.66233134162
04/2019,212900.2843045317
05/2019,209159.65997746936
06/2019,217620.1084916753
07/2019,226022.43764696532
08/2019,228876.12018385823
09/2019,229038.66127989415
10/2019,224881.26580793137
11/2019,235971.5166242459
12/2019,234684.70392579248
01/2020,247229.45076066174
02/2020,230486.581792398
03/2020,204468.78812649797
04/2020,230041.38542264487
05/2020,237992.03754434752
06/2020,246893.339224522
07/2020,249236.42941678426
08/2020,271109.8614246837
09/2020,265677.95429358125
10/2020,254710.0893237316
11/2020,274283.75116200495
12/2020,276989.89211700746
01/2021,284716.01962316537
02/2021,283308.315426661
03/2021,289171.6124071551
04/2021,300531.0838120036
05/2021,292640.5690473269
06/2021,306085.23638378765
07/2021,308639.919693185
08/2021,322905.5331255741
09/2021,318410.9026732332
10/2021,343616.6669080709
11/2021,338123.8931304341
12/2021,337367.3104679174
01/2022,311376.2052213389
02/2022,301791.47138708725
03/2022,318476.76231988735
04/2022,293076.2664866801
05/2022,288963.66161915404
06/2022,278512.1834764985
07/2022,298181.7692083048
08/2022,298059.5781645228
09/2022,287092.19085991604
10/2022,317541.76213597134
11/2022,314102.76552826504
12/2022,293636.4530838833
01/2023,287123.1189157473
02/2023,281024.3153927555
03/2023,275250.3793024996
04/2023,279125.60939251946
05/2023,272917.82620319264
06/2023,286899.0350154512
07/2023,287638.60275484825
08/2023,292454.0336025276
09/2023,285548.6397510365
10/2023,280165.3080988183
11/2023,297480.46098413627
12/2023,308282.9645145043
01/2024,331910.69627351366
02/2024,365666.06191742467
03/2024,378733.2964229942
04/2024,363398.3225282949