Data,IE00BHBFDF83
11/2008,10000
12/2008,8902.321045600751
01/2009,10469.949268735307
02/2009,11062.108489284701
03/2009,11961.970590529
04/2009,12600.907290848962
05/2009,12303.651477164667
06/2009,14339.978732591773
07/2009,16923.111150299457
08/2009,12672.139705967988
09/2009,13125.892273474614
10/2009,14002.423497416294
11/2009,14634.259785406945
12/2009,15561.788395796188
01/2010,14139.897006876403
02/2010,14796.104530693423
03/2010,15192.841885524138
04/2010,14040.614176325675
05/2010,13710.78218869483
06/2010,12981.431470977559
07/2010,13621.270850804283
08/2010,13892.875799500476
09/2010,13219.86780464002
10/2010,15069.968546061735
11/2010,14813.876223664985
12/2010,14614.370982009517
01/2011,14150.591108453049
02/2011,14574.701321831137
03/2011,14242.520621706439
04/2011,13676.462566470029
05/2011,13378.91845136782
06/2011,13688.83583389306
07/2011,13534.570816778034
08/2011,12859.483919089753
09/2011,12600.106928151079
10/2011,12785.55363615926
11/2011,12434.370730575796
12/2011,12389.955404480419
01/2012,12778.296114929346
02/2012,13261.51983401354
03/2012,12455.465463280681
04/2012,13412.230669349441
05/2012,14123.562534364099
06/2012,13310.146675023063
07/2012,13081.846268459629
08/2012,12049.206414023576
09/2012,12352.090708380329
10/2012,12203.998211252576
11/2012,11703.31109585822
12/2012,13444.687015020805
01/2013,13818.936240630166
02/2013,14133.821009096724
03/2013,13565.062188820733
04/2013,13129.077156280377
05/2013,14016.342878951413
06/2013,12011.388050492678
07/2013,11915.479609163522
08/2013,12607.054370714413
09/2013,12850.553288034067
10/2013,12577.652702326179
11/2013,12973.815305813441
12/2013,12317.008560424843
01/2014,11854.18120120932
02/2014,11272.890998644463
03/2014,11006.630303496238
04/2014,10925.53508030001
05/2014,11127.473330011715
06/2014,11306.88810683602
07/2014,12760.660647952709
08/2014,12915.222564386851
09/2014,14134.88811585556
10/2014,14625.878735144284
11/2014,16266.230129793004
12/2014,20641.236360135812
01/2015,21439.54652138451
02/2015,22350.51181877948
03/2015,26860.43206770084
04/2015,30592.16923154608
05/2015,31873.25577701653
06/2015,28904.816914140527
07/2015,25239.66641043055
08/2015,21177.022576488605
09/2015,20147.68046176773
10/2015,22942.661995544473
11/2015,23806.5889647323
12/2015,23608.07581199425
01/2016,18125.061429099682
02/2016,17922.0874705275
03/2016,19440.8056251289
04/2016,18880.536988583517
05/2016,19007.182982229922
06/2016,19085.957235200003
07/2016,19735.937803785215
08/2016,20294.92478126405
09/2016,19738.026274966804
10/2016,20342.712800226356
11/2016,21727.055245758598
12/2016,20475.677679107754
01/2017,20747.432123867227
02/2017,21528.28396240607
03/2017,21278.04015305483
04/2017,20768.782766828885
05/2017,20582.347936538048
06/2017,21493.18555662198
07/2017,21763.5873321161
08/2017,22462.6064501228
09/2017,22546.290482085766
10/2017,23788.46400593552
11/2017,23040.10442494972
12/2017,23205.601112718967
01/2018,24259.49743103998
02/2018,23039.59587363281
03/2018,22268.038856315692
04/2018,21683.965335456614
05/2018,22083.977755982927
06/2018,19858.991226308503
07/2018,19373.851588718924
08/2018,18276.760951954326
09/2018,18855.25632711199
10/2018,17340.387629162087
11/2018,17479.811037939526
12/2018,16822.780893862884
01/2019,18228.44908492631
02/2019,20903.60206224434
03/2019,22403.944277158378
04/2019,22458.35318587619
05/2019,20505.706050896024
06/2019,21333.25328196483
07/2019,21921.562401612882
08/2019,21326.311539843253
09/2019,21723.3929550126
10/2019,21841.10357874085
11/2019,21926.606415016424
12/2019,23188.429246395077
01/2020,23127.258823134674
02/2020,23167.322558808322
03/2020,21542.438712587526
04/2020,23180.48857702603
05/2020,22179.361259236382
06/2020,24352.04104416475
07/2020,26476.23064255739
08/2020,27516.844516881927
09/2020,26826.636153968037
10/2020,27710.40359564041
11/2020,28712.081135467346
12/2020,30194.096134689815
01/2021,31659.60709114323
02/2021,31201.51973244906
03/2021,30210.5798599191
04/2021,30547.614519619612
05/2021,32126.495963564827
06/2021,32499.009095618625
07/2021,30340.593381653933
08/2021,30809.9585123102
09/2021,31851.886161130158
10/2021,32295.199164472
11/2021,32979.61724507797
12/2021,33520.209737116114
01/2022,31012.10237704283
02/2022,31666.609850908535
03/2022,29157.933243831736
04/2022,27721.349315281142
05/2022,28014.972670368305
06/2022,31651.523135100688
07/2022,30243.82786423942
08/2022,29679.115760474913
09/2022,27536.65123474216
10/2022,24484.777620056913
11/2022,26416.03330897227
12/2022,26193.87424759541
01/2023,28225.547988743034
02/2023,27501.91165564992
03/2023,26831.853196712633
04/2023,26007.940695658282
05/2023,24579.942621078353
06/2023,23964.39295183315
07/2023,25218.241219704763
08/2023,23528.680609378494
09/2023,23687.928533652357
10/2023,22705.7806838906
11/2023,22350.98701923431
12/2023,21733.684841785027
01/2024,20298.41674226152
02/2024,22332.47379827998
03/2024,22322.195354622727