Data,IE00BJ38QD84
01/2005,10000
02/2005,9996.587450359266
03/2005,9927.386615296855
04/2005,9361.42894573265
05/2005,10478.15484121228
06/2005,11094.776816908245
07/2005,11793.944837406685
08/2005,11472.68804835902
09/2005,11654.898771602424
10/2005,11307.951439535465
11/2005,12109.977225215853
12/2005,12022.995186025371
01/2006,12751.073092732728
02/2006,12972.990069277737
03/2006,13341.80817454318
04/2006,12875.579419985748
05/2006,11836.668396014242
06/2006,12055.056424700786
07/2006,11610.458460478472
08/2006,11873.171925787923
09/2006,12149.674763555317
10/2006,12809.75096887915
11/2006,12641.542831912913
12/2006,12709.607309199908
01/2007,13134.590217449031
02/2007,12773.595370726702
03/2007,12803.424222570085
04/2007,12755.26227687707
05/2007,13424.491125720186
06/2007,13173.816905523385
07/2007,12088.639523873497
08/2007,12361.419761129247
09/2007,12150.179770972762
10/2007,12263.877877230563
11/2007,11138.046989156526
12/2007,11158.55804207007
01/2008,10290.63125621599
02/2008,9712.575074958038
03/2008,9352.98018017428
04/2008,9912.81597242289
05/2008,10387.095707849285
06/2008,9429.12419591217
07/2008,9871.536840261144
08/2008,10833.941086670655
09/2008,10269.130247319828
10/2008,9115.887920645795
11/2008,8054.265843615409
12/2008,7791.062473148146
01/2009,7517.456216273408
02/2009,6691.864851615124
03/2009,6923.859414612611
04/2009,8012.307777707581
05/2009,7770.031187032359
06/2009,7862.1336263278945
07/2009,8614.935355222467
08/2009,8776.605567966804
09/2009,9045.427562715791
10/2009,8339.585876359395
11/2009,8471.606280338043
12/2009,9543.442018652147
01/2010,9479.347107721116
02/2010,10193.069372275171
03/2010,11094.53818949827
04/2010,11864.035789064235
05/2010,11859.154177175815
06/2010,10969.271820388094
07/2010,11039.153663392894
08/2010,10499.614017567643
09/2010,10967.719140330953
10/2010,11241.600778276947
11/2010,12397.261595225846
12/2010,13014.065963615805
01/2011,12664.4257306877
02/2011,13218.67154654616
03/2011,13201.89547954366
04/2011,12951.74858288152
05/2011,13125.336484046768
06/2011,12759.110362445575
07/2011,12461.184127719256
08/2011,11224.32246844478
09/2011,10662.19294283557
10/2011,11836.692516074518
11/2011,12303.005221672
12/2011,12839.662291650924
01/2012,13496.320319641773
02/2012,13541.47089336343
03/2012,13975.517798674908
04/2012,13904.009406138797
05/2012,13829.203041477534
06/2012,14300.165646295998
07/2012,14450.276408253932
08/2012,14541.35272540786
09/2012,14644.693078360368
10/2012,14253.852694813364
11/2012,14333.745452009494
12/2012,14606.785912826974
01/2013,15109.6295039566
02/2013,15762.383355421638
03/2013,16903.496487888544
04/2013,16493.16868996016
05/2013,17235.287620953346
06/2013,17045.794299616984
07/2013,17966.543936921367
08/2013,17443.96945990939
09/2013,18181.593511030558
10/2013,18448.416219319555
11/2013,19225.215027481587
12/2013,19342.898961119445
01/2014,19185.31244337516
02/2014,19652.412622097
03/2014,19548.935603577516
04/2014,18701.80763656966
05/2014,19183.648593836195
06/2014,20124.11272887276
07/2014,19295.246969294774
08/2014,20540.49614659046
09/2014,20220.633687186004
10/2014,21650.045208212956
11/2014,21735.210047800567
12/2014,22978.938598831086
01/2015,23878.677450786414
02/2015,25436.58223671969
03/2015,27030.359793577554
04/2015,25263.230005854643
05/2015,26410.778712757834
06/2015,26081.14871173415
07/2015,26293.330186426534
08/2015,24089.56774900202
09/2015,22926.17486389246
10/2015,24620.978617732613
11/2015,26468.250433573055
12/2015,24421.460251668224
01/2016,22200.55490720258
02/2016,22259.256616006212
03/2016,22980.982485593053
04/2016,23299.070205484666
05/2016,24349.893022047174
06/2016,24442.43527122502
07/2016,25870.061905924515
08/2016,26276.150504340298
09/2016,26493.217472264412
10/2016,25722.7454472286
11/2016,29420.806370226528
12/2016,30507.52237107269
01/2017,30010.805030225125
02/2017,31038.56830855166
03/2017,30798.16446092217
04/2017,30447.380454004266
05/2017,29046.80176487232
06/2017,29540.68220828413
07/2017,28953.381194725018
08/2017,28340.898369038106
09/2017,30150.99690690045
10/2017,30839.4287157098
11/2017,31155.49532266884
12/2017,30649.38500100472
01/2018,30271.253722125937
02/2018,29670.465282871075
03/2018,29785.794820380717
04/2018,30637.76835272542
05/2018,33545.40284912094
06/2018,33896.21393264526
07/2018,34249.291625503196
08/2018,35977.85155472424
09/2018,35331.00074496032
10/2018,32202.55142791079
11/2018,32588.275614741127
12/2018,28480.864284439718
01/2019,31572.991247794667
02/2019,33415.98951321274
03/2019,33235.33954617071
04/2019,34408.13265601057
05/2019,31914.17729038421
06/2019,33474.20773290802
07/2019,34349.95407374555
08/2019,32985.63323782447
09/2019,34118.269596959864
10/2019,34176.35007565695
11/2019,36131.972403876505
12/2019,36330.90830620779
01/2020,35735.73306833001
02/2020,32942.09713830037
03/2020,25826.125210478942
04/2020,29583.058867804077
05/2020,30765.129333737186
06/2020,31668.54980602659
07/2020,30751.69018082855
08/2020,32226.359797981415
09/2020,31759.087345271313
10/2020,32444.02361096682
11/2020,37511.67290962555
12/2020,39780.554101199305
01/2021,42237.24085222935
02/2021,44914.65089935745
03/2021,46886.71438006269
04/2021,46445.057496353285
05/2021,46075.27334432387
06/2021,48209.28739343613
07/2021,46429.10374424076
08/2021,47684.67209345964
09/2021,47285.9543095882
10/2021,49006.246394521804
11/2021,48117.44432704133
12/2021,49340.982682364214
01/2022,45257.9025985862
02/2022,45554.08732688414
03/2022,46516.82725447113
04/2022,44125.459547654384
05/2022,43467.46930359689
06/2022,41133.74720136531
07/2022,46259.86636526668
08/2022,46198.8986355104
09/2022,42839.706787718824
10/2022,46748.90196621711
11/2022,45699.010680912696
12/2022,41559.73433889172
01/2023,44896.88512304304
02/2023,45016.81726895357
03/2023,41845.59656440138
04/2023,40686.14327256041
05/2023,41424.58414249601
06/2023,44027.74347069396
07/2023,46043.75554565502
08/2023,44352.5836828024
09/2023,42809.95018318075
10/2023,39785.74371330544
11/2023,42138.41319256892
12/2023,46767.25714160794
01/2024,45820.074885230024
02/2024,48448.55408068333
03/2024,50240.47559934735
04/2024,47097.11449427405