Data,IE00BJRCLL96
10/2003,10000
11/2003,9876.125584666011
12/2003,9974.335116720991
01/2004,10276.44242120197
02/2004,10575.216058631346
03/2004,10825.12629441039
04/2004,10806.773966894345
05/2004,10743.562693086113
06/2004,11079.52415975688
07/2004,11012.850998075437
08/2004,11056.374624780952
09/2004,11198.145170643427
10/2004,11202.068214806228
11/2004,11373.093008714995
12/2004,11488.046432349785
01/2005,11845.37887271995
02/2005,12175.355780452857
03/2005,12314.338912920584
04/2005,12054.365423973513
05/2005,12835.992592757711
06/2005,13377.316794102224
07/2005,13888.117946830707
08/2005,13970.56283716337
09/2005,14482.585800391345
10/2005,14031.899959558103
11/2005,14761.404170450196
12/2005,15170.11720927758
01/2006,15542.592227219584
02/2006,15902.293094552626
03/2006,16002.893423901765
04/2006,15904.806005299906
05/2006,15104.186641476268
06/2006,15400.067707709433
07/2006,15459.086626324828
08/2006,15769.376366746206
09/2006,16193.828003831706
10/2006,16742.53860352378
11/2006,16608.487753639623
12/2006,17032.20545176895
01/2007,17523.904656127743
02/2007,17299.2922048463
03/2007,17583.371828664058
04/2007,17915.07575346143
05/2007,18601.938385538182
06/2007,18344.68917437962
07/2007,17659.440384853253
08/2007,17696.94486868349
09/2007,17834.766911501458
10/2007,18027.88198559154
11/2007,16954.0379937164
12/2007,16778.80828969884
01/2008,15434.491547457515
02/2008,15141.202081999607
03/2008,14314.006311032404
04/2008,15274.676994644853
05/2008,15748.836316923644
06/2008,14361.905187677805
07/2008,14258.381150194
08/2008,14982.030440526207
09/2008,13597.386801218185
10/2008,12479.307223970904
11/2008,11927.209916633163
12/2008,11478.514738485374
01/2009,11668.859097014774
02/2009,10772.666220159761
03/2009,10862.723791988978
04/2009,12014.066590086755
05/2009,12272.062637542183
06/2009,12239.163987834681
07/2009,13182.204480108761
08/2009,13534.823440906837
09/2009,13750.34393579705
10/2009,13299.393785200342
11/2009,13694.673404833558
12/2009,14665.31080580165
01/2010,14601.356570891943
02/2010,15306.544361352067
03/2010,16271.227372491845
04/2010,16548.684153145172
05/2010,16385.998938083838
06/2010,16101.627214474387
07/2010,16225.124755086199
08/2010,16236.651415867895
09/2010,16519.358217425928
10/2010,16879.45770485142
11/2010,17631.90273886627
12/2010,18252.742439497742
01/2011,18093.701797640628
02/2011,18452.06502075453
03/2011,18150.838128830146
04/2011,18296.11140692267
05/2011,18755.152807270548
06/2011,18445.569423737004
07/2011,18309.269483577104
08/2011,17048.74999595769
09/2011,16934.972759555312
10/2011,17865.665170460274
11/2011,18302.939297190045
12/2011,19013.712243258826
01/2012,19375.30103812346
02/2012,19779.356152471522
03/2012,20208.19808941987
04/2012,20354.268567735933
05/2012,20192.52681280253
06/2012,20830.177232314894
07/2012,21783.09196826484
08/2012,21640.566563390745
09/2012,21653.794671081705
10/2012,21416.534821933856
11/2012,21690.14926495954
12/2012,21558.911068260008
01/2013,22038.433198091643
02/2013,22886.047373451587
03/2013,24178.682440180415
04/2013,24483.10542794379
05/2013,24317.370175409043
06/2013,23731.22908600023
07/2013,24554.002070319297
08/2013,24039.236749012238
09/2013,24719.05628376445
10/2013,25418.602539843527
11/2013,25846.09415809742
12/2013,26022.66978576692
01/2014,25755.74997472085
02/2014,26535.27774407524
03/2014,26830.96194149035
04/2014,26993.16326948023
05/2014,28082.641015817415
06/2014,28547.42622960962
07/2014,28566.99594135199
08/2014,29670.63157191497
09/2014,30218.195512670125
10/2014,30851.196959361027
11/2014,31500.615278151832
12/2014,32100.7508985141
01/2015,34362.348263301996
02/2015,36120.950318547475
03/2015,37274.53995473712
04/2015,36212.57894438448
05/2015,37135.08005835217
06/2015,35429.01058257865
07/2015,36963.22817005948
08/2015,34242.46964512779
09/2015,33491.61033889176
10/2015,36512.55148073025
11/2015,37858.64202116284
12/2015,36268.34112295515
01/2016,34725.595352430515
02/2016,34911.80878437294
03/2016,35615.76024537079
04/2016,35954.76633250165
05/2016,36884.31570222331
06/2016,37294.31494407937
07/2016,38488.0894466278
08/2016,38097.17174963549
09/2016,38354.50873372609
10/2016,38247.52340119769
11/2016,39602.98693454559
12/2016,40950.39485082753
01/2017,41065.47463033943
02/2017,42838.830626177376
03/2017,43061.17794695869
04/2017,42656.04340760403
05/2017,42638.62246310761
06/2017,41967.82243720394
07/2017,41724.60040275258
08/2017,41517.57743036886
09/2017,42419.83381219841
10/2017,43822.50868078233
11/2017,43900.981393423106
12/2017,43894.912095617554
01/2018,43855.05898544074
02/2018,42921.63055655178
03/2018,42247.98091421738
04/2018,43611.31028036578
05/2018,45256.925603875374
06/2018,45151.205234544745
07/2018,46254.39288370365
08/2018,46691.60868400946
09/2018,47265.001921142466
10/2018,45010.0797933537
11/2018,45499.15398950019
12/2018,42165.938766211424
01/2019,45210.45817137774
02/2019,46666.90223104666
03/2019,47885.427827968226
04/2019,48841.652001094364
05/2019,46718.62744100978
06/2019,48498.71646739277
07/2019,49536.08975226063
08/2019,49153.66969632078
09/2019,51197.511173567815
10/2019,50762.33159919972
11/2019,52343.72777732984
12/2019,52525.09690931562
01/2020,52678.5215209837
02/2020,48345.546197021955
03/2020,41015.273157708674
04/2020,45276.60447753783
05/2020,46215.749860881995
06/2020,46294.724954616
07/2020,45570.75838999283
08/2020,47097.83086193943
09/2020,47105.72765326178
10/2020,46091.4430952645
11/2020,50356.378559229066
12/2020,50909.038892892226
01/2021,51021.54146649001
02/2021,52292.27719497234
03/2021,57280.136124192155
04/2021,57545.310206800496
05/2021,58545.46770492248
06/2021,59974.92172714082
07/2021,60886.05024725888
08/2021,62227.84801344171
09/2021,60959.0876200791
10/2021,63067.586517212374
11/2021,63096.8241119788
12/2021,67450.05196779373
01/2022,65850.76064601603
02/2022,65066.079829591705
03/2022,67707.87900857779
04/2022,67829.94148989553
05/2022,67550.57261804465
06/2022,63328.58471060573
07/2022,68110.65138235092
08/2022,66833.33220120921
09/2022,62141.12293119232
10/2022,65964.67129753204
11/2022,67636.97907425405
12/2022,64047.407455363806
01/2023,66432.17813876492
02/2023,65650.38006318155
03/2023,64876.348428591016
04/2023,65340.04625741067
05/2023,64215.98284370796
06/2023,66557.0836631392
07/2023,67513.75807480278
08/2023,66578.71065120361
09/2023,66088.87212352228
10/2023,65002.97222579997