Data,IE00BKM4H312
06/1994,10000
07/1994,9964.52446287447
08/1994,10313.66818632826
09/1994,10021.812028791039
10/1994,9979.795675228905
11/1994,9852.26627876977
12/1994,10069.968629612003
01/1995,10331.299371530175
02/1995,10526.954625049024
03/1995,10317.470655065601
04/1995,10441.581794903348
05/1995,11160.330174767947
06/1995,11130.87580670555
07/1995,11222.225956138125
08/1995,11708.765326268978
09/1995,12561.529614801895
10/1995,12432.991119612181
11/1995,13037.888361640831
12/1995,13788.666474929312
01/1996,14306.815096472565
02/1996,14477.614649968054
03/1996,14613.954369534855
04/1996,14815.687060233833
05/1996,15243.43262183196
06/1996,15271.159743899914
07/1996,14559.73437457093
08/1996,14609.505844339466
09/1996,15382.370343666396
10/1996,16209.656201201125
11/1996,17030.955152804556
12/1996,17305.724431530867
01/1997,18789.95148834898
02/1997,20123.010670409778
03/1997,19303.22939838306
04/1997,20111.938615630723
05/1997,21269.014846828188
06/1997,22431.88993929627
07/1997,24481.3888248336
08/1997,24080.48862580143
09/1997,24744.212718382874
10/1997,23982.413945154643
11/1997,24614.97423555567
12/1997,25920.061581197708
01/1998,26287.420246644775
02/1998,27617.31864885222
03/1998,29359.782735613957
04/1998,28954.209348133743
05/1998,28329.302812253263
06/1998,28713.89876859114
07/1998,28317.425089603345
08/1998,25094.80087111702
09/1998,25788.741341575864
10/1998,26244.631919993062
11/1998,28376.629651592022
12/1998,28621.197838554428
01/1999,29478.63027212
02/1999,29617.942354992687
03/1999,30276.03430924914
04/1999,33746.73598832497
05/1999,33589.244957720424
06/1999,34897.1790636617
07/1999,32602.244668863164
08/1999,31453.759216522325
09/1999,29898.84078641447
10/1999,31634.55918677644
11/1999,32519.773040180902
12/1999,31581.09191946593
01/2000,31275.671379845673
02/2000,28184.91177897764
03/2000,32115.82639801998
04/2000,33665.05574684638
05/2000,33429.985437902586
06/2000,30358.79920351028
07/2000,31302.568126936487
08/2000,33814.28083643982
09/2000,35894.0334758978
10/2000,39531.67137433127
11/2000,37767.36689188159
12/2000,36717.6671385975
01/2001,36105.7154113655
02/2001,36047.50112566834
03/2001,36736.02182045117
04/2001,37636.64344370713
05/2001,40265.87135189417
06/2001,38975.41581076733
07/2001,38350.66287233325
08/2001,35525.6057742948
09/2001,34677.05154453893
10/2001,33981.34945145209
11/2001,35721.32748879673
12/2001,36560.84212479499
01/2002,37249.549306852525
02/2002,37997.07866119515
03/2002,38693.90548073984
04/2002,36246.465819710254
05/2002,35211.179336815236
06/2002,31292.578289815552
07/2002,30278.17812035955
08/2002,30002.823650814105
09/2002,26280.581754466893
10/2002,27752.865715339936
11/2002,28680.850796096092
12/2002,26310.68164674356
01/2003,24774.841955563188
02/2003,24236.131779186733
03/2003,24166.13841848248
04/2003,25725.08289669299
05/2003,25361.409769980135
06/2003,26633.90643816756
07/2003,26575.26227113542
08/2003,27901.73225533615
09/2003,26025.591716465486
10/2003,27015.602504166403
11/2003,26299.205490154072
12/2003,26795.795298755576
01/2004,27684.732558369724
02/2004,27940.833425923473
03/2004,27877.496989520816
04/2004,28328.895453660592
05/2004,27776.122047817247
06/2004,28451.329372374068
07/2004,28436.38677828916
08/2004,28934.796323002505
09/2004,28218.52081791384
10/2004,27560.45501932627
11/2004,27280.07575067576
12/2004,27437.48819757451
01/2005,28083.040053039782
02/2005,28702.558490755422
03/2005,28818.598628849093
04/2005,28877.336242304504
05/2005,30650.547843976867
06/2005,31113.258454466653
07/2005,31486.132989932055
08/2005,30898.539957641893
09/2005,31535.098534460056
10/2005,30791.9274601438
11/2005,32290.946582221473
12/2005,32427.9949235352
01/2006,32040.462516802854
02/2006,33062.37728791888
03/2006,32681.644056822795
04/2006,32507.295547607733
05/2006,30874.74442542096
06/2006,31374.337348931236
07/2006,32359.32943184967
08/2006,32866.00814062304
09/2006,33929.18498213331
10/2006,34559.10019629745
11/2006,33666.81773034502
12/2006,34705.9449405259
01/2007,35570.59551722781
02/2007,34240.00175962318
03/2007,34352.85501161933
04/2007,35006.984065897974
05/2007,36317.661198686
06/2007,35230.76773655758
07/2007,33356.90611468758
08/2007,34146.07840654736
09/2007,33903.84833356325
10/2007,33183.32304379433
11/2007,31467.799590156024
12/2007,30624.72454239521
01/2008,29482.63562938159
02/2008,27214.075566291973
03/2008,26395.42181548781
04/2008,27262.49378982263
05/2008,26944.37471502214
06/2008,23806.412656518023
07/2008,24750.984816796255
08/2008,26711.334242190842
09/2008,26786.889719999726
10/2008,26262.080259305487
11/2008,25012.165123462462
12/2008,23072.29522300913
01/2009,21360.74255476928
02/2009,18770.313144393473
03/2009,19632.769567136456
04/2009,21657.648187824492
05/2009,21798.45996715331
06/2009,21775.91802268
07/2009,23458.198146636954
08/2009,23750.73794726622
09/2009,23965.335295207577
10/2009,23355.953132384926
11/2009,24543.177021024123
12/2009,25959.842194357316
01/2010,26147.50473620132
02/2010,27324.468075271798
03/2010,28916.808506936286
04/2010,29662.76012645943
05/2010,29874.041529337203
06/2010,29142.038103525305
07/2010,29205.341043977885
08/2010,29574.006332873436
09/2010,29293.127641239647
10/2010,29647.241099835563
11/2010,31294.554144220747
12/2010,31973.44129017352
01/2011,31548.5315702909
02/2011,32512.558756309958
03/2011,32004.68558575809
04/2011,31968.517997274364
05/2011,32961.62810966256
06/2011,32379.501998866654
07/2011,32007.351145058572
08/2011,30921.8065561281
09/2011,31749.554950374702
10/2011,32892.57482073697
11/2011,34819.72589869531
12/2011,37225.70835767871
01/2012,36755.01924521155
02/2012,37111.24735153445
03/2012,38180.537295317634
04/2012,38622.774132828665
05/2012,39436.540514925306
06/2012,40777.02638989176
07/2012,42723.570787925884
08/2012,41735.60676765161
09/2012,41493.993163616484
10/2012,40876.78790663016
11/2012,40575.17430136465
12/2012,39826.61632689973
01/2013,40867.04451699403
02/2013,43060.97784411288
03/2013,46075.7436215323
04/2013,46366.3564971015
05/2013,46548.65311653987
06/2013,45863.64961811533
07/2013,47082.78800548396
08/2013,45695.44379031042
09/2013,45478.22213702249
10/2013,47288.622931896345
11/2013,48428.36446025333
12/2013,48470.448350087754
01/2014,47365.32260353845
02/2014,48117.98463894882
03/2014,49466.11054255876
04/2014,50482.18627909325
05/2014,52006.26773361414
06/2014,52678.763854075965
07/2014,52857.5654354664
08/2014,55589.67309661379
09/2014,57866.34307448831
10/2014,59492.68475778788
11/2014,61268.35312325529
12/2014,62466.255431804595
01/2015,64848.00454089519
02/2015,67732.49784267045
03/2015,68993.72014793937
04/2015,67532.54209329408
05/2015,69181.43264278804
06/2015,65556.03313514935
07/2015,67825.26285219514
08/2015,62668.97078031037
09/2015,62478.59594269878
10/2015,68784.51893985439
11/2015,71649.66716808091
12/2015,69198.95845325713
01/2016,67655.66062391154
02/2016,68349.3228935671
03/2016,69515.28871462349
04/2016,69587.5512235547
05/2016,72186.03136554528
06/2016,74682.71058631016
07/2016,76505.87035064523
08/2016,75879.41767411226
09/2016,75672.79685934845
10/2016,75820.18868217197
11/2016,79408.6799347005
12/2016,81977.85644254215
01/2017,80973.03847902289
02/2017,85774.50327038472
03/2017,85053.48568760909
04/2017,83196.45013434537
05/2017,82318.8073143723
06/2017,81093.540774465
07/2017,80188.20430885788
08/2017,79673.6835809205
09/2017,81395.26125628168
10/2017,83610.71284947205
11/2017,84923.14545824006
12/2017,85048.37730618264
01/2018,85089.39752365772
02/2018,82809.35633860267
03/2018,80762.21182345775
04/2018,81970.18929982296
05/2018,85347.82719781053
06/2018,85972.44624093697
07/2018,89181.89917314364
08/2018,91251.41405725018
09/2018,92967.91529579378
10/2018,91248.33848116564
11/2018,94408.17577379588
12/2018,85900.10056202264
01/2019,90171.28482913892
02/2019,94425.19630217481
03/2019,96540.59290841823
04/2019,98246.0221360914
05/2019,92414.83944550388
06/2019,96589.89549515174
07/2019,99092.01851030199
08/2019,99160.69693000677
09/2019,104043.17284236877
10/2019,102228.51199626837
11/2019,105864.4552371351
12/2019,105799.3191390978
01/2020,105525.7106394256
02/2020,96317.8338790407
03/2020,85101.34034189992
04/2020,94572.39064624775
05/2020,94900.91754120133
06/2020,93391.18343184801
07/2020,91047.33740628762
08/2020,93423.47364625156
09/2020,93237.65273690183
10/2020,90836.94870737426
11/2020,97388.68554490697
12/2020,97120.03368417425
01/2021,96886.62247666957
02/2021,98228.08727807688
03/2021,109202.37546785752
04/2021,108474.64980025386
05/2021,109753.85997838421
06/2021,111723.88596096997
07/2021,113726.33489892137
08/2021,116331.02508683388
09/2021,113042.70557598118
10/2021,116587.31883507001
11/2021,117593.79970422
12/2021,126741.80090904344
01/2022,125962.07287500304
02/2022,122759.0266195192
03/2022,126985.88625624143
04/2022,128745.0564357174
05/2022,129584.7978445234
06/2022,125229.00876632622
07/2022,132278.48967027917
08/2022,130147.29569110619
09/2022,122995.58599672234
10/2022,132750.81041523276
11/2022,135859.01329035955
12/2022,127941.31033177096
01/2023,128031.05059135523
02/2023,126171.22655143352
03/2023,124179.41564115782
04/2023,123377.44771270809
05/2023,121122.0980950173
06/2023,125700.10561818135
07/2023,128115.04111580677
08/2023,127390.43353936897
09/2023,125829.6732475514
10/2023,121230.65259197488
11/2023,125059.40997718828
12/2023,130242.3645092031
01/2024,133839.0448122036
02/2024,137488.88904739814
03/2024,143514.80477560824
04/2024,139064.1199809934